id,location_info,location_href,main_text,hastag,like,date_text,user_id,Posts,Followers,user_profile
airbnb.gimchen,NULL,NULL,airbnb.gimchen 좋은후기 남겨주셔서 감사합니다^^ 저희숙소에 머물렀던분이 전국체육대회 3관왕을 해서 저도 너무 기쁘네요 ㅎㅎ  #김천숙소 #김천에어비앤비 #에어비앤비 #여행 #전국체육대회 #가족힐링 #가족힐링여행 #부곡동맛집 #김천맛집 #3관왕 #문의는dm #가족여행 3주,"['김천숙소', '김천에어비앤비', '에어비앤비', '여행', '전국체육대회', '가족힐링', '가족힐링여행', '부곡동맛집', '김천맛집', '3관왕', '문의는dm', '가족여행']",14,2021년 10월 15일,,,,
airbnb.gimchen,NULL,NULL,airbnb.gimchen #에어비앤비 #여행 #김천여행 #직지사공원 #김천숙소 #가족여행 #힐링여행 #김천역 #김천 #구미 #구미맛집 #김천맛집 #예약 #감사합니다🙏 #문의는dm 5주,"['에어비앤비', '여행', '김천여행', '직지사공원', '김천숙소', '가족여행', '힐링여행', '김천역', '김천', '구미', '구미맛집', '김천맛집', '예약', '감사합니다🙏', '문의는dm']",16,2021년 10월 5일,,,,
airbnb.gimchen,NULL,NULL,airbnb.gimchen #김천숙소 #에어비앤비 #가족여행 #힐링여행 #문의는dm #3룸빌라 #2화장실 #힐링여행 #깨끗한숙소 #새로운숙소 #여행 5주,"['김천숙소', '에어비앤비', '가족여행', '힐링여행', '문의는dm', '3룸빌라', '2화장실', '힐링여행', '깨끗한숙소', '새로운숙소', '여행']",27,2021년 10월 5일,,,,
airbnb.gimchen,NULL,NULL,airbnb.gimchen #남양주카페 #어나더쥬얼리 #어나더쥬얼리피크닉 #김천숙소 #김천에어비앤비 #김천역 #김천 #부곡맛고을 #여행 #가족여행 #힐링여행 6주,"['남양주카페', '어나더쥬얼리', '어나더쥬얼리피크닉', '김천숙소', '김천에어비앤비', '김천역', '김천', '부곡맛고을', '여행', '가족여행', '힐링여행']",27,2021년 9월 29일,,,,
airbnb.gimchen,NULL,NULL,airbnb.gimchen 추석연휴에도 많이 이용해주셔서 감사합니다^^  추석연휴에 호두랑 산책하기 산책후 삐진 호두  #김천숙소 #김천역 #김천 #김천맛집 #호두 #구미 #직지사공원 #산책 #추석 #추석연휴 #에어비앤비 #김천에어비앤비 #여행 #가족여행 #힐링여행 7주,"['김천숙소', '김천역', '김천', '김천맛집', '호두', '구미', '직지사공원', '산책', '추석', '추석연휴', '에어비앤비', '김천에어비앤비', '여행', '가족여행', '힐링여행']",27,2021년 9월 20일,,,,
airbnb.gimchen,NULL,NULL,"airbnb.gimchen 바로앞에 부곡맛고을이 있어 외식하기에 좋습니다. 배달음식들도 여러가지 종류로 많이 있습니다. 비교적 주변이 조용한편이며, 차량움직임이 거의 없는 곳입니다. 차 타고 20분정도 나가면 직지사공원이 있으며 집 앞쪽에는 등산로 입구가 있습니다. 4km이내에 김천역이 위치해있으며 숙소주변에는 편의점, 식자재마트 등 여러 편의시설들이 잘 구비되어 있습니다.  #김천 #김천맛집 #에어비앤비 #김천숙소 #가족힐링 #여행 #부곡맛고을 #직지사공원 #김천역 #쓰리룸 #김천여행 #구미맛집 8주","['김천', '김천맛집', '에어비앤비', '김천숙소', '가족힐링', '여행', '부곡맛고을', '직지사공원', '김천역', '쓰리룸', '김천여행', '구미맛집']",24,2021년 9월 13일,,,,
angel19890918,NULL,NULL,"angel19890918 김천에 물놀이를 갔다가 김천에서 1박을 하기러 했습니다.  날씨가 너우 더운관계로 #김천숙소 를 알아보는데, 펜션가기는 좀 그렇더라고요.  숙소에서 뭘 해먹을것도 아니고, 물놀이를 하면서 엄청 배가 불렀어요.  그래서 그냥 잠만 잘수있는 #김천모텔 을 다녀왔어요 https://m.blog.naver.com/angel1989918/222465243873 #q1모텔 #김천뷰좋은숙소 #김천인공폭포 #맞팔 #맞팔해요 #선팔맞팔 #여행 #맛집그램 #좋반환영 #좋튀환영 #좋반 13주","['김천숙소', '김천모텔', 'q1모텔', '김천뷰좋은숙소', '김천인공폭포', '맞팔', '맞팔해요', '선팔맞팔', '여행', '맛집그램', '좋반환영', '좋튀환영', '좋반']",44,2021년 8월 11일,angel19890918,1908,1824,밖쭈의일상 블로거 #협찬 #여행 #맛집 #제품 #구미맛집 리뷰를 적고있는 매일매일힐링하고싶은 블로거입니다 ❤ in.naver.com/angel1989918
songej0812,NULL,NULL,songej0812 사명대사공원 안에 이런 숙소가 있다니👍🏻 낮에도 예쁘지만 밤이 더 낭만적인 곳🌙 한복이랑 피크닉세트 대여도 가능! 푹자고 담날 라벤더족욕으로 마무으리💜 . . . #신혼#신혼부부#럽스타그램#부부스타그램 #여행스타그램#여행에미치다_국내#김천여행 #김천숙소#사명대사공원#직지사#건강문화원 #라벤더공원#국내여행#경상도여행#남펴니랑💕 15주,"['신혼', '신혼부부', '럽스타그램', '부부스타그램', '여행스타그램', '여행에미치다_국내', '김천여행', '김천숙소', '사명대사공원', '직지사', '건강문화원', '라벤더공원', '국내여행', '경상도여행', '남펴니랑💕']",54,2021년 7월 22일,songej0812,212,504,우주💕 신혼부부일상💕 여행이 좋아 #여행스타그램#koreatravel
coffeeblossom7,Gimcheon,https://www.instagram.com/explore/locations/264862653/gimcheon/,coffeeblossom7 🙏염원 🏘조식으로 🍳계란후라이만 하고 싶다  #김천#김천여행 #김천숙소#블러썸게스트하우스 #gusthouse#airbnb 24주,"['김천', '김천여행', '김천숙소', '블러썸게스트하우스', 'gusthouse', 'airbnb']",25,2021년 5월 24일,coffeeblossom7,48,697,블러썸게스트하우스 여행 가이드 🌸 뷰티플 모닝의 게스트하우스 ☎️ 예약 문의 010-3813-6318 blog.naver.com/kc5428
coffeeblossom7,NULL,NULL,coffeeblossom7 색칠하기 그림으로 빨강 머리 앤을 101호에 들여 놓고...  #김천#김천게스트하우스 #블러썸게스트하우스 #김천여행#김천숙소 #김천블러썸게스트하우스 25주,"['김천', '김천게스트하우스', '블러썸게스트하우스', '김천여행', '김천숙소', '김천블러썸게스트하우스']",36,2021년 5월 19일,,,,
j_j__125,NULL,NULL,j_j__125 숙소가너무 완벽...한옥🤍 26주,[],25,2021년 5월 6일,,,,
coffeeblossom7,김천시,https://www.instagram.com/explore/locations/976061324/,coffeeblossom7 욕실 청소의 제 1원칙.  스뎅은 빛 나게.  #김천#김천게스트하우스 #김천블러썸게스트하우스#101호 #김천여행#김천숙소# 28주,"['김천', '김천게스트하우스', '김천블러썸게스트하우스', '101호', '김천여행', '김천숙소']",29,2021년 4월 23일,,,,
muumistagram,금오천,https://www.instagram.com/explore/locations/306819363375331/,muumistagram 봄바람휘날리며〰️🌸 흩날리는 벚꽃잎이🌸 32주,[],365,2021년 3월 31일,muumistagram,525,5478,likefirst/유미 쇼핑 및 유통 @likefirst_shop 쇼핑몰 관련 문의는 카카오톡으로 부탁드립니다♥ 카카오톡채널 : likefirst www.likefirst.co.kr
doubles486,오봉저수지,https://www.instagram.com/explore/locations/623995446/,"doubles486 #이벤트당첨 좋은 기회로 다녀온 김천 #드림키즈풀빌라 👍🏻  일단 신축이라 넘 깨끗하고 인테리어도 이쁨😍 키즈풀빌라답게 아이들 용품도 잘비치되어있고, 놀거리도 많아서 애들끼리 넘 잘놈 ㅋㅋㅋㅋ 김천에 이런곳이 생겨서 넘넘 좋은듯😊 바베큐장이 실내랑 연결되있어서 숯불이 아닌게 좀 아쉬웠지만 애들 케어 잘되고 나름 만족 수영하고 먹는 꼬기는 다 맜있당 ㅋㅋ . . #김천펜션#경북풀빌라#김천숙소#힐링#여행#경북키즈펜션#경북키즈풀빌라#김천가볼만한곳#오봉저수지 41주","['이벤트당첨', '드림키즈풀빌라', '김천펜션', '경북풀빌라', '김천숙소', '힐링', '여행', '경북키즈펜션', '경북키즈풀빌라', '김천가볼만한곳', '오봉저수지']",34,2021년 1월 24일,doubles486,3598,664,등린이 ⛰👶🏻 고흔은주☺️ 우형제공간❤️ 김천100명산깨기⛰ 26/100 영남알프스⛰ 완등💚 #등산 #일상 #맛집 #카페투어 #여행
dada._.e_,군위,https://www.instagram.com/explore/locations/272607356/,dada._.e_ @dada._.e__ 여기서도 파닥몬 됬었네yo  너무 힐링됬었던 군위 안뇽 〰️🤍  ——— 🧚🏻‍♀️ 숙소정보 블로그에 #다은이는군위🚗 ——— 47주,['다은이는군위🚗'],986,2020년 12월 14일,dada._.e_,696,15432,"다은 <나 만의 색깔, 그 가치> 예술가 오늘을 살아가세요, 눈이부시게 ✨ ・‥━━━・‥━━━・‥━━━ ・‥ ☁️ 이 외 정보는 팔로워분들께만 공유합니다 ( ⸝⸝•ᴗ•⸝⸝ )੭⁾⁾ ღ ☁️ 피드 속 정보는 블로그 ⤵ m.blog.naver.com/dadaa2"
dada._.e_,Gongju,https://www.instagram.com/explore/locations/263633777/gongju/,"dada._.e_ @dada._.e__ 한옥에 푹 빠진 요즘,♥️  분위기도 좋고 프라이빗한 공간에 힐링 만땅하고왔던 :)  #내돈내산후기 ———— 🧚🏻‍♀️ 숙소정보는 블로그에 #다은이는공주🚗 ———— 49주","['내돈내산후기', '다은이는공주🚗']",930,2020년 12월 1일,,,,
logenir_official,NULL,NULL,logenir_official 호텔 로제니아에서 추석맞이 할인 이벤트를 진행합니다. 많은 관심 부탁드립니다🥰 61주,"['로제니아', '로제니아호텔', '김천로제니아호텔', '호텔로제니아', '로제니아봉쁠라', '로제니아뷔페', '김천', '김천호텔', '김천뷔페', '김천맛집', '김천맛집추천', '구미맛집', '구미핫플', '구미뷔페', '봉쁠라', '봉쁠라뷔페', '김천숙소', '먹스타그램', '호캉스', '비즈니스호텔', '김천혁신도시', '김천혁신맛집', '김천율곡동', '율곡동맛집', '김천구미', '김천구미역', 'logenir', 'logenirhotel', 'hotellogenir', 'gimcheonhotel']",103,2020년 9월 8일,logenir_official,21,1003,로제니아 호텔 호텔/숙박 LOGENIR HOTELㅣ로제니아호텔 경북 김천 혁신 도시 호텔 ⠀⠀⠀ ■ 객실 예약문의 054 . 429 . 4700 ■ 봉쁠라 뷔페 예약문의 054 . 429 . 4750 ⠀⠀⠀ #로제니아호텔 #Logenir www.logenir.com
_yunseo_j,NULL,NULL,_yunseo_j 텅연 왠열 모든게 예뻤다💙 #김천#사명대사공원#평화의탑#김천숙소#경북여행 #일상 66주,"['김천', '사명대사공원', '평화의탑', '김천숙소', '경북여행', '일상']",44,2020년 7월 30일,_yunseo_j,231,201,yυnѕeo a.ĸ.a мιнyυn 개인 블로그 ᴊᴜɴɢ ʏᴜɴsᴇᴏ 하루살이
sae._.hh,제주도,https://www.instagram.com/explore/locations/824843366/,"sae._.hh @sae._.yn 문의 너어어어~무 많던 이 오션뷰 숙소,,♥️ 드디어 블로그 포스팅 완료 ! ⠀ 너무저렴한데 예뻐서 강추해요 >_< ⠀ ⠀ ⠀ 68주",[],496,2020년 7월 22일,sae._.hh,63,1403,윤이 ♥️ 예쁜것만 보며 살기 ---------------------- 개인계정 @ynni._.z 😊 ⬇️ 블로그에 추가정보 ⬇️ blog.naver.com/hyj1057
q1_concierge,NULL,NULL,q1_concierge 김천큐1모텔이 2020-2021년 우수숙박업소로 선정되었습니다 😆  #큐1모텔 #Q1모텔 #퀄리티넘버원 #김천숙소 #김천모텔 #김천호텔 #김천비지니스호텔 #야놀자 #여기어때 #맛스타그램 #여행스타그램 #휴가 #여가 #우수숙박업소 #일상 #데이트 #모텔 #호텔 #kimcheon #motel #hotel #kimcheonmotel 68주,"['큐1모텔', 'Q1모텔', '퀄리티넘버원', '김천숙소', '김천모텔', '김천호텔', '김천비지니스호텔', '야놀자', '여기어때', '맛스타그램', '여행스타그램', '휴가', '여가', '우수숙박업소', '일상', '데이트', '모텔', '호텔', 'kimcheon', 'motel', 'hotel', 'kimcheonmotel']",4,2020년 7월 22일,q1_concierge,13,10,Q1_concierge Q1 motel (Quality No.1 Motel) Tel: 054-430-1400 Address: 경상북도 김천시 강변로 58 q1motel.modoo.at
sae._.hh,NULL,NULL,"sae._.hh @sae._.yn 가성비 지인짜 좋았던 숙소 , 스토리 잠깐올렸는데 궁금해하는 분들이 많네효 ?! ⠀ 곧 블로그 업뎃하러 슝슝 🙆‍♀️ ⠀ #새해여행 ⠀ ⠀ 69주",['새해여행'],310,2020년 7월 14일,,,,
seoul_sup,NULL,NULL,seoul_sup #김천무인텔 #김천호텔 #김천숙소 #김천숙박 #김천모텔 #김천아포모텔 #김천아포무인텔 #시크릿비지니스모텔 73주,"['김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '시크릿비지니스모텔']",9,2020년 6월 12일,seoul_sup,4181,14350,서울촌놈
instainkorea,NULL,NULL,instainkorea #김천무인텔 #김천호텔 #김천숙소 #김천숙박 #김천모텔 #김천아포모텔 #김천아포무인텔 #시크릿비지니스모텔 74주,"['김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '시크릿비지니스모텔']",6,2020년 6월 5일,instainkorea,4474,40641,대한민국 대표 인스타그램 📕📷📽대한민국 전국을 간다~~🐱 odiya.kr
instainkorea,NULL,NULL,instainkorea #김천무인텔#김천호텔#김천숙소#김천숙박#김천모텔#김천아포모텔#김천아포무인텔#추천#시크릿비즈니스모텔#김천#무인텔#숙소#숙박#모텔#숙박#완전#강추#편한곳#가족#친구#연인들끼리#강추 79주,"['김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '추천', '시크릿비즈니스모텔', '김천', '무인텔', '숙소', '숙박', '모텔', '숙박', '완전', '강추', '편한곳', '가족', '친구', '연인들끼리', '강추']",3,2020년 5월 6일,,,,
logenir_official,NULL,NULL,logenir_official 호텔 로제니아는 코로나19 확산 방지를 위해 전직원 마스크 의무착용과 호텔 내부 전체 방역작업을 실시하고 있습니다. 감염관리 매뉴얼에 따라 예방 조치를 취하고 있으며 안심하고 호텔을 이용하실 수 있도록 최선을 다하겠습니다. 감사합니다. 85주,"['로제니아', '로제니아호텔', '김천로제니아호텔', '호텔로제니아', '로제니아봉쁠라', '로제니아뷔페', '김천', '김천호텔', '김천뷔페', '김천맛집', '김천맛집추천', '구미맛집', '구미핫플', '구미뷔페', '봉쁠라', '봉쁠라뷔페', '김천숙소', '먹스타그램', '호캉스', '비즈니스호텔', '김천혁신도시', '김천혁신맛집', '김천율곡동', '율곡동맛집', '김천구미', '김천구미역', 'logenir', 'logenirhotel', 'hotellogenir', 'gimcheonhotel']",142,2020년 3월 24일,,,,
olivia_like_you,NULL,NULL,olivia_like_you #김천무인텔#김천호텔#김천숙소#김천숙박#김천모텔#김천아포모텔#김천아포무인텔#추천#시크릿비즈니스모텔#김천#무인텔#숙소#숙박#모텔#숙박#완전#강추#편한곳#가족#친구#연인들끼리#강추 86주,"['김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '추천', '시크릿비즈니스모텔', '김천', '무인텔', '숙소', '숙박', '모텔', '숙박', '완전', '강추', '편한곳', '가족', '친구', '연인들끼리', '강추']",5,2020년 3월 16일,olivia_like_you,2263,13670,seven
carpediemzzang,NULL,NULL,carpediemzzang #김천무인텔#김천호텔#김천숙소#김천숙박#김천모텔#김천아포모텔#김천아포무인텔#추천#시크릿비즈니스모텔#김천#무인텔#숙소#숙박#모텔#숙박#완전#강추#편한곳#가족#친구#연인들끼리#강추 88주,"['김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '추천', '시크릿비즈니스모텔', '김천', '무인텔', '숙소', '숙박', '모텔', '숙박', '완전', '강추', '편한곳', '가족', '친구', '연인들끼리', '강추']",13,2020년 3월 3일,carpediemzzang,866,14022,"까르페디엠 ""현재를 즐겨라"" 세상의맛..나만의멋.. 그리고..사랑가득한 일상"
logenir_official,로제니아호텔,https://www.instagram.com/explore/locations/1156714101155706/,logenir_official 호텔 로제니아에서는 코로나19 감염방지와 안전한 환경유지를 위해 전 직원 마스크 착용을 의무화하고 있습니다.  호텔 내부에 손 소독제를 비치하였으며 내부 및 전객실 방역작업을 시행하고 있습니다. 코로나19 감염에 철저히 대비하여 안심하고 이용하실 수 있도록 최선을 다하겠습니다.  감사합니다. 88주,"['로제니아', '로제니아호텔', '김천로제니아호텔', '호텔로제니아', '로제니아봉쁠라', '로제니아뷔페', '김천', '김천호텔', '김천뷔페', '김천맛집', '김천맛집추천', '구미맛집', '구미핫플', '구미뷔페', '봉쁠라', '봉쁠라뷔페', '김천숙소', '먹스타그램', '호캉스', '비즈니스호텔', '김천혁신도시', '김천혁신맛집', '김천율곡동', '율곡동맛집', '김천구미', '김천구미역', 'logenir', 'logenirhotel', 'hotellogenir', 'gimcheonhotel']",150,2020년 2월 27일,,,,
seoul_sup,NULL,NULL,seoul_sup #김천무인텔#김천호텔#김천숙소#김천숙박#김천모텔#김천아포모텔#김천아포무인텔#추천#김천#무인텔#김천무인텔추천#김천호텔추천#숙소추천#김천숙소추천#김천모텔추천#호텔#모텔#숙박#완전#강추#시크릿비즈니스모텔 94주,"['김천무인텔', '김천호텔', '김천숙소', '김천숙박', '김천모텔', '김천아포모텔', '김천아포무인텔', '추천', '김천', '무인텔', '김천무인텔추천', '김천호텔추천', '숙소추천', '김천숙소추천', '김천모텔추천', '호텔', '모텔', '숙박', '완전', '강추', '시크릿비즈니스모텔']",12,2020년 1월 21일,,,,
logenir_official,김천 Logenir Hotel,https://www.instagram.com/explore/locations/1018751023/logenir-hotel/,logenir_official 호텔 로제니아에서 설맞이 할인 이벤트를 진행합니다. 많은 관심 부탁드립니다🥰 96주,"['로제니아', '로제니아호텔', '김천로제니아호텔', '호텔로제니아', '로제니아봉쁠라', '로제니아뷔페', '김천', '김천호텔', '김천뷔페', '김천맛집', '김천맛집추천', '구미맛집', '구미핫플', '구미뷔페', '봉쁠라', '봉쁠라뷔페', '김천숙소', '먹스타그램', '호캉스', '비즈니스호텔', '김천혁신도시', '김천혁신맛집', '김천율곡동', '율곡동맛집', '김천구미', '김천구미역', 'logenir', 'logenirhotel', 'hotellogenir', 'gimcheonhotel']",196,2020년 1월 5일,,,,
logenir_official,로제니아호텔,https://www.instagram.com/explore/locations/1156714101155706/,logenir_official 안녕하세요 2020년 새해가 5일 앞으로 다가왔습니다! 저희 로제니아는 새해맞이 이벤트를 진행중입니다. 많은 이용부탁드려요👏🏻👏🏻❤️ 97주,"['로제니아', '로제니아호텔', '김천로제니아호텔', '호텔로제니아', '로제니아봉쁠라', '로제니아뷔페', '김천', '김천호텔', '김천뷔페', '김천맛집', '김천맛집추천', '구미맛집', '구미핫플', '구미뷔페', '봉쁠라', '봉쁠라뷔페', '김천숙소', '먹스타그램', '호캉스', '비즈니스호텔', '김천혁신도시', '김천혁신맛집', '김천율곡동', '율곡동맛집', '김천구미', '김천구미역', 'logenir', 'logenirhotel', 'hotellogenir', 'gimcheonhotel']",169,2019년 12월 26일,,,,
logenir_official,NULL,NULL,"logenir_official 안녕하세요 저희 호텔 로제니아 뷔페 봉쁠라에서 크리스마스 이벤트를 진행합니다👏🏻👏🏻 많은 관심 부탁드립니다❤️ ⠀ 케이크 4인테이블 기준, 1테이블당 1개 제공 무릎담요 초등학생이하 1개씩 제공 *준비된 선물 소진 시 제공 어려울 수 있음 (단, 예약 손님 우선으로 제공) 99주","['로제니아', '로제니아호텔', '김천로제니아호텔', '호텔로제니아', '로제니아봉쁠라', '로제니아뷔페', '김천', '김천호텔', '김천뷔페', '김천맛집', '김천맛집추천', '구미맛집', '구미핫플', '구미뷔페', '봉쁠라', '봉쁠라뷔페', '김천숙소', '먹스타그램', '호캉스', '비즈니스호텔', '김천혁신도시', '김천혁신맛집', '김천율곡동', '율곡동맛집', '김천구미', '김천구미역', 'logenir', 'logenirhotel', 'hotellogenir', 'gimcheonhotel']",110,2019년 12월 14일,,,,
